ID,name,phone,address,city,state,zip,license_no,admin,count2015,open,close,map
0,CLINIC FOR WOMEN,3179552641,3607 W 16TH ST STE 2B,INDIANAPOLIS,IN,46222,16-011133-1,LADONNA PRINCE,784,9,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3065.8697597707032!2d-86.22263804837195!3d39.78747810148953!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x886b9ff3fa610325%3A0xb22d4be1dc8ddfce!2sClinic+for+Women!5e0!3m2!1sen!2sus!4v1487008198168"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
1,Planned Parenthood of Indiana and Kentucky – Merrillville,2197693500,8645 Connecticut St,Merrillville,IN,46410,16-011116-1,JESSICA STIENBARGER,1274,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3133.5575447435713!2d-85.76656604839567!3d38.24337319273233!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x886972aa53f02ce1%3A0xf6a38ec661945c0!2sPlanned+Parenthood+Of+Indiana+And+Kentucky!5e0!3m2!1sen!2sus!4v1487008226317"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
2,PLANNED PARENTHOOD OF INDIANA AND KENTUCKY INC  - Bloomington,8123360219,421 S College Ave,Bloomington,IN,47403,16-011117-1,LAURA MILLER,822,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3093.5494044451284!2d-86.53683284838169!3d39.1622291387931!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x886c66e6d311e2a3%3A0xb6aa24caf06f0e2b!2sPlanned+Parenthood+-+Bloomington+Health+Center!5e0!3m2!1sen!2sus!4v1487008346745"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
3,PLANNED PARENTHOOD OF INDIANA AND KENTUCKY INC - Indianapolis,3178723115,8590 Georgetown Road,INDIANAPOLIS,IN,46268,16-011118-1,DEVYN PURTLEBAUGH,2879,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d196153.73353221721!2d-86.26241834893607!3d39.80918806251593!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x886b5545f8ad0ef1%3A0xae06b59be2e1ba1a!2sPlanned+Parenthood+-+Georgetown+Health+Center!5e0!3m2!1sen!2sus!4v1487008372730"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
4,Planned Parenthood of Indiana and Kentucky – Lafayette,7654468078,964 Mezzanine Drive,Lafayette,IN,47905,16-013765-1,AMBER KAWLEWSKI,259,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d390731.90876454033!2d-86.77604636871936!3d40.084488955340525!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88131c976abb280f%3A0xeb434befc2d3d17b!2sPlanned+Parenthood+-+Lafayette+Health+Center!5e0!3m2!1sen!2sus!4v1487008385167"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
5,Indianapolis Women’s Center,3173539371,1201 N Arlington Ave,INDIANAPOLIS,IN,46219,16-011128-1,W. MARTIN HASKELL,1334,9,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d390729.75179028814!2d-86.77742062648615!3d40.08486476958637!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x886b4fb1c6098cdd%3A0x8803c4ab9e7fb2b6!2sIndianapolis+Women&#39;s+Center!5e0!3m2!1sen!2sus!4v1487008409962"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
6,Women's Pavilion,,2010 Ironwood Cir. ,South Bend,IN,,,,578,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d772361.0456138318!2d-86.6825933766603!3d40.871098762719825!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8816cd7f92da6c13%3A0x16f92bce88355908!2sWomen&#39;s+Pavilion!5e0!3m2!1sen!2sus!4v1487008426151"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
7,"Indiana University Health University
Hospital",,550 University Blvd. ,Indianapolis,,,,,5,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d772368.4511087061!2d-86.68534376199443!3d40.8704639143238!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x886b57359175515d%3A0xda6611960c49084b!2sIU+Health+University+Hospital!5e0!3m2!1sen!2sus!4v1487008440149"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
8,Sidney & Lois Eskenazi Hospital,,720 Eskenazi Ave. ,Indianapolis,,,,,20,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3066.2892533678987!2d-86.18625814837212!3d39.778063602054516!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x886b57377b5b892d%3A0x8ab8737ab2400d69!2sEskenazi+Hospital!5e0!3m2!1sen!2sus!4v1487008451363"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
9,"Indiana University Health North
Hospital",,11700 N. Meridian St.,Carmel,,,,,2,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3058.2028641147695!2d-86.16404484836927!3d39.95921689115857!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8814ac6201c4a60f%3A0x7474ff23f098bf6!2sIU+Health+North+Hospital!5e0!3m2!1sen!2sus!4v1487008471127"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
,total,,,,,,,,7957,,,
